finish,player_name,score_to_par,r1,r2,r3,r4,putter_type,putter_brand,putter_model,putter_notes,source
1,Rory McIlroy,-13,67,65,73,71,mallet,TaylorMade,Spider Tour X,Switched at 2024 Tour Championship; used to win both 2025 and 2026 Masters,Golf Monthly WITB 2026 / MyGolfSpy
2,Scottie Scheffler,-12,70,67,65,70,mallet,TaylorMade,Spider L-Neck,Switched from blade in 2024; credited with major alignment improvement,PGA Tour equipment reports / Golf Monthly
T3,Tyrrell Hatton,-11,69,66,77,66,mallet,Odyssey,Ai-One #7,Long-time Odyssey user; confirmed at 2026 Masters,Golf Monthly equipment coverage
T3,Justin Rose,-11,70,69,69,69,mallet,Scotty Cameron,Phantom X prototype,Switched from earlier models; confirmed via Golf Monthly WITB 2026,Golf Monthly WITB 2026
T3,Cameron Young,-11,72,68,65,72,mallet,Scotty Cameron,Phantom 9.5R Tour Prototype,Used to win 2025 Wyndham Championship; confirmed at Masters,Eden Steak / Golf Monthly
T3,Russell Henley,-11,70,68,70,69,mallet,Scotty Cameron,Phantom 5 Tour Prototype,Consistent Scotty Cameron Phantom user in 2025,Golf Monthly top-50 equipment report
T7,Collin Morikawa,-10,70,69,69,70,blade,Titleist,Scotty Cameron Newport prototype,Confirmed blade user; high approach play compensates,ESPN Masters preview 2026
T7,Sam Burns,-10,67,71,70,70,mallet,Odyssey,Ai-One #7S,2025's #1 SG:Putting player; same putter at Masters,EssentiallySports WITB April 2026
T9,Max Homa,-9,71,68,71,69,mallet,Odyssey,Ai-One Milled #7,Confirmed mallet user 2025-2026,Golf Monthly equipment survey
T9,Xander Schauffele,-9,71,68,70,70,mallet,Scotty Cameron,Phantom X 12,Long-time Scotty Cameron Phantom mallet user,Golf Monthly top-50 equipment report
11,Patrick Reed,-7,69,67,72,73,blade,Scotty Cameron,009M prototype,Confirmed at 2026 Masters via Golf Monthly WITB,Golf Monthly Patrick Reed WITB 2026
